"V1","V2","V3","V4","V5","V6","V7"
-1.9345,-0.059727,-0.15337,-0.0071017,-0.059948,0.19018,-0.12388
2.224,0.0061821,-0.11069,0.16689,0.038396,-0.14322,0.16297
1.8855,0.51972,0.25172,0.083881,0.01646,-0.054469,0.47934
-1.2283,0.31473,0.13404,-0.055599,-0.04899,0.095522,-0.21365
-0.38817,-0.17294,-0.18215,0.15585,-0.0295,-0.13824,0.32868
0.37505,0.69522,0.25233,-0.087522,0.012985,0.031554,-0.62696
1.3994,0.40313,0.20109,-0.25615,-0.050251,0.045168,-0.19026
0.63291,-0.22529,-0.081214,-0.052331,0.039525,-0.12831,0.086857
-0.37002,-0.38473,0.088943,-0.17967,-0.018317,0.11176,0.18869
0.4062,0.15705,0.18718,-0.085387,-0.017502,-0.023962,0.03624
-1.0704,-0.538,-0.14383,-0.067742,-0.022271,0.19077,-0.15615
1.5748,0.73743,0.28433,-0.067719,-0.059727,0.14476,0.039609
0.8808,0.64299,0.26317,0.0098416,-0.026802,-0.15022,0.43485
-1.0277,-0.12006,-0.039209,0.026606,0.0013627,-0.25081,0.14884
-0.38465,-0.19133,-0.044902,0.041907,-0.025392,0.085065,-0.15366
-0.95079,-0.044313,-0.049968,-0.14331,-0.047379,0.10505,-0.011467
-2.0791,-0.32193,-0.19866,0.095227,0.059704,-0.091444,0.14139
-0.23933,0.82371,0.24271,-0.085492,-0.087978,0.12397,0.1269
-1.8207,-0.17291,-0.1925,-0.091116,-0.01068,-0.048272,-0.25916
-0.18197,-0.44633,-0.2143,-0.10701,0.010503,-0.14884,-0.30537
0.64613,-0.37838,-0.1216,-0.41451,-0.039229,0.18797,-0.6663
0.43857,-0.058087,0.00013054,0.0055794,-0.016634,-0.056567,0.39916
0.38621,-0.58678,-0.35566,0.088567,0.0015092,-0.19047,-0.19738
-0.28647,-0.15834,-0.013881,-0.2137,-0.01284,0.13267,-0.36709
-0.082191,0.41704,0.21659,0.0097223,0.016285,0.060048,-0.06538
-0.51845,0.14442,-0.021632,0.13758,0.05335,-0.19375,0.25949
-1.8042,-0.39629,-0.1317,0.073051,0.041173,-0.051948,-0.39253
3.0202,0.49718,0.16202,0.026528,0.012901,-0.048359,0.33049
-0.92994,-0.16062,-0.16003,0.08181,-0.024484,-0.20743,-0.014386
1.6268,-0.12882,-0.12078,0.055959,-0.031507,-0.051625,0.21017
2.9251,0.50121,0.32904,0.097762,0.039787,-0.057238,0.38552
1.3413,0.22503,0.021509,-0.053858,0.00054428,0.12083,-0.11581
1.7415,-0.43934,-0.12159,-0.034459,0.054669,0.025251,0.11368
-0.56721,0.017842,0.030141,0.2155,0.042927,-0.25677,0.3114
0.87048,-0.20726,-0.11665,0.18502,0.033482,-0.13534,0.313
0.51092,0.90086,0.36482,-0.10044,-0.023712,0.12606,-0.15805
-0.30027,0.01351,0.021336,-0.034258,0.051072,-0.25313,0.19994
-0.16184,-0.0072955,0.10349,-0.095063,-0.033964,0.047083,0.068867
0.48961,-0.40142,-0.3294,0.13017,0.032096,-0.10167,-0.02114
-0.43273,0.20781,0.07211,-0.10959,-0.071425,0.071311,-0.30094
0.60435,-0.12454,0.11737,0.070759,0.013831,-0.014571,0.32442
-1.1496,-0.24324,-0.079182,-0.10212,0.007778,-0.049474,-0.08687
0.57821,0.4169,0.25882,-0.15376,-0.020039,-0.045051,-0.034663
-0.55487,0.22506,0.32999,0.17011,-0.018992,0.22991,0.0037062
1.466,-0.0013461,0.01114,-0.11276,-0.0078529,-0.1481,0.16866
-0.31477,0.049067,-0.038942,-0.076671,-0.0082836,-0.2057,-0.10883
-0.7272,-0.69515,-0.41955,-0.15056,0.0046563,0.058577,-0.056468
0.21469,0.77526,0.39401,-0.13286,-0.068092,0.3067,0.05936
1.49,0.48376,0.33939,-0.14388,-0.016033,-0.079167,0.12407
1.1691,-0.26738,-0.00081892,-0.073707,-0.01182,0.15973,0.41494
-0.94117,-0.1754,-0.13122,0.26274,0.050118,-0.27045,0.31604
-0.1877,-0.019935,0.006136,0.17396,0.067132,0.1476,0.060191
-1.0824,-0.43199,-0.019482,-0.10322,0.033684,0.015555,0.20199
1.1116,-0.11318,-0.016047,0.036561,0.048423,-0.13112,0.28824
1.7339,0.62676,0.24087,0.086921,-0.010585,-0.065465,0.143
0.31452,0.2118,0.090992,0.060939,-0.028065,0.12822,0.39809
-0.83566,0.10108,0.027722,-0.13767,0.016375,0.04721,0.045822
-1.9271,-0.59492,-0.3761,0.02225,0.020241,0.023171,-0.13806
-0.54365,-0.06363,-0.17607,0.34576,0.025031,-0.089939,0.30029
-0.2858,-0.68372,-0.17372,-0.16805,0.05693,-0.017217,-0.11483
-1.2882,0.35641,0.044669,0.070146,0.0050646,-0.062826,0.18397
2.6816,0.40535,0.070731,0.15203,-0.0091575,-0.064551,0.16353
-0.37829,-0.20912,-0.12661,-0.090339,0.0056897,-0.092683,0.030332
1.5974,0.11925,0.16937,0.038386,0.014272,-0.082972,0.31588
-0.91205,-0.22293,0.10522,0.016731,0.0068588,-0.14512,0.1539
0.94172,0.01736,-0.0064206,-0.11494,-0.046882,-0.0057196,-0.034153
0.12652,0.27781,-0.0069703,0.32298,-0.0089263,0.0028221,0.17795
-1.3205,-0.24703,-0.19371,-0.023628,0.0070859,-0.076092,0.077518
0.99942,0.060068,0.10526,-0.28565,-0.073317,0.40014,-0.50937
-0.47295,0.1499,0.071779,-0.087802,-0.00065392,0.058488,0.03634
1.5484,0.65882,0.24884,0.13348,-0.038686,-0.064039,0.071998
1.9006,-0.052527,0.068537,-0.23409,-0.024797,0.3879,-0.14578
-0.94957,0.035147,0.020935,0.051176,0.0038064,-0.14567,0.028608
-0.79191,0.14818,-0.015535,0.17806,0.041802,-0.17011,0.091054
0.47742,-0.16732,-0.16704,-0.14149,0.026565,-0.1333,-0.19934
1.2337,0.36386,-0.0069799,-0.1001,-0.080574,-0.014428,-0.25462
-0.6585,-0.25535,-0.049723,0.064333,-0.040222,0.25575,0.23957
0.65973,-0.29668,-0.095057,0.063979,0.053502,-0.029036,0.16595
1.0612,0.23087,-0.058012,0.15637,0.0028439,-0.2827,-0.04393
-0.27912,0.38424,-0.037327,0.32099,0.021436,-0.23558,0.23294
0.51426,-0.21445,-0.10215,0.14439,-0.0082362,-0.13045,0.022154
-2.6516,-0.39926,-0.086079,-0.17005,-0.011977,0.047955,-0.6107
-0.15169,-0.25583,-0.035578,-0.011829,0.058805,0.0087663,0.16991
1.817,0.44188,0.014276,0.29691,0.037807,-0.026122,0.057039
-0.13802,-0.42012,-0.1244,0.089709,0.041411,-0.32973,0.38602
0.68981,0.40279,0.070734,-0.13442,-0.045154,-0.20569,0.15405
-2.7157,-0.82107,-0.30047,-0.078711,0.034203,0.053839,-0.17418
0.60355,0.3962,0.22458,0.064285,0.0046364,-0.16177,0.51663
-0.54825,0.060263,-0.011554,-0.15609,0.00267,0.245,-0.030619
0.4781,0.17704,-0.017221,-0.30465,-0.0019388,0.067925,-0.46485
-0.20478,0.20661,0.068378,-0.082159,0.0053373,0.055558,-0.18389
1.0406,0.21993,0.10839,0.22839,0.065769,-0.085313,0.13735
-1.5832,-0.36628,-0.28089,-0.20093,-0.0043012,-0.18295,-0.1608
